,년도,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,연봉
1244,2019,정수민,NC 다이노스,-0.84,7,0,0,1,0,2,0,0,9.1,17,17,54,17,5,0,1,10,0,1,4,0,1,0
1245,2019,문동욱,한화 이글스,-0.89,12,0,0,1,1,1,0,0,15.2,25,21,91,36,6,0,3,4,0,3,12,0,1,0
1246,2019,박주홍,한화 이글스,-0.99,29,0,0,6,0,4,0,1,38.1,37,34,188,51,9,2,8,24,0,2,27,1,1,0
1247,2019,최충연,삼성 라이온즈,-1.03,34,0,0,2,0,2,1,4,36.2,36,30,194,44,15,1,2,38,1,3,41,0,6,0
1248,2019,홍건희,기아 타이거즈,-1.1,21,0,0,14,2,9,0,0,81.2,70,65,381,112,20,1,12,33,0,3,52,0,7,0
1249,2019,김민우,한화 이글스,-1.23,16,1,0,12,2,7,0,0,68.0,59,51,315,80,12,1,6,30,0,6,46,0,4,0
1250,2020,알칸타라,두산 베어스,8.31,31,1,0,31,20,2,0,0,198.2,58,56,795,174,38,3,12,30,0,9,182,1,3,45000
1251,2020,스트레일리,롯데 자이언츠,7.53,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27,2,10,51,0,7,205,0,4,50000
1252,2020,브룩스,기아 타이거즈,7.16,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18,0,4,24,0,3,130,1,3,47900
1253,2020,루친스키,NC 다이노스,5.59,30,0,0,30,19,5,0,0,183.0,67,62,770,173,12,3,14,57,0,11,167,0,11,100000
1254,2020,요키시,키움 히어로즈,5.53,27,0,0,27,12,7,0,0,159.2,53,38,640,144,26,3,6,25,0,6,115,1,3,55000
1255,2020,뷰캐넌,삼성 라이온즈,4.68,27,1,0,27,15,7,0,0,174.2,71,67,728,172,19,2,16,50,0,7,121,0,2,60000
1256,2020,구창모,NC 다이노스,4.62,15,0,0,14,9,0,0,1,93.1,20,18,348,58,12,0,7,18,0,0,102,0,2,0
1257,2020,켈리,LG 트윈스,4.26,28,1,1,28,15,7,0,0,173.1,67,64,705,160,29,1,16,40,0,11,134,0,4,90000
1258,2020,문승원,SK 와이번즈,3.82,25,1,0,25,6,8,0,0,145.2,64,59,610,136,29,0,13,45,0,6,117,0,2,25700
1259,2020,플렉센,두산 베어스,3.51,21,0,0,21,8,4,0,0,116.2,43,39,472,97,14,0,6,30,2,2,132,0,5,0
1260,2020,최채흥,삼성 라이온즈,3.35,26,1,1,26,11,6,0,0,146.0,67,58,617,131,27,1,12,51,0,7,123,3,3,0
1261,2020,데스파이네,기아 타이거즈,3.21,35,0,0,34,15,8,0,0,207.2,105,100,906,233,36,1,18,68,1,8,152,0,18,0
1262,2020,최원준,두산 베어스,3.08,42,0,0,18,10,2,0,0,123.0,52,52,532,134,23,3,15,35,0,7,94,1,2,0
1263,2020,조상우,키움 히어로즈,2.98,53,0,0,0,5,3,33,0,54.1,15,13,232,50,5,0,3,18,2,2,64,0,1,0
1264,2020,가뇽,기아 타이거즈,2.84,28,0,0,28,11,8,0,0,159.2,86,77,702,162,33,8,7,64,0,9,141,0,13,65000
1265,2020,라이블리,삼성 라이온즈,2.68,21,0,0,21,6,7,0,0,112.0,54,53,478,98,16,1,11,39,0,12,95,0,2,50000
1266,2020,정우영,LG 트윈스,2.67,65,0,0,0,4,4,5,20,75.0,26,26,305,48,5,0,3,29,3,11,59,0,1,0
1267,2020,박준표,기아 타이거즈,2.66,50,0,0,0,7,1,6,11,51.2,16,9,205,41,3,0,3,8,2,0,44,0,2,0
1268,2020,배제성,기아 타이거즈,2.65,26,0,0,26,10,7,0,0,141.1,67,62,619,130,30,1,12,76,0,4,83,1,11,0
1269,2020,쿠에바스,기아 타이거즈,2.64,27,0,0,27,10,8,0,0,158.0,80,72,668,152,26,1,16,46,0,9,110,0,4,0
1270,2020,주권,기아 타이거즈,2.63,77,0,0,0,6,2,0,31,70.0,25,21,294,54,11,0,6,32,1,1,37,0,0,0
1271,2020,오승환,삼성 라이온즈,2.62,45,0,0,0,3,2,18,2,47.2,14,14,201,44,10,1,2,15,0,2,39,0,1,120000
1272,2020,양현종,기아 타이거즈,2.52,31,0,0,31,11,10,0,0,172.1,99,90,746,180,40,4,13,64,0,5,149,0,7,230000
1273,2020,브리검,키움 히어로즈,2.4,21,0,0,21,9,5,0,0,107.0,45,43,456,98,7,2,6,42,1,5,105,0,8,80000
1274,2020,소형준,기아 타이거즈,2.37,26,0,0,24,13,6,0,0,133.0,63,57,572,141,23,0,6,45,0,6,92,0,2,0
1275,2020,김민우,한화 이글스,2.31,26,0,0,25,5,10,0,0,132.2,72,64,593,121,16,1,15,72,3,7,124,2,10,0
1276,2020,송명기,NC 다이노스,2.31,36,0,0,12,9,3,0,0,87.2,37,36,372,78,13,0,12,39,1,2,72,0,7,0
1277,2020,박민호,SK 와이번즈,2.29,57,0,0,0,2,1,4,11,52.0,16,14,215,43,9,0,4,19,0,2,36,0,0,0
