매장이름,lat,lng,주소,구
암사3동점,37.55445806224201,127.14074049194033,"서울 강동구 고덕로 140 (암사동, 프라이어팰리스)",강동구
암사역점,37.5508657313861,127.128126213246,"서울 강동구 올림픽로 782 (암사동, 501타워)",강동구
암사중앙점,37.5513635720856,127.134728442286,"서울 강동구 암사길 50 (암사동, 제이빌더스)",강동구
올림픽북문점,37.5244902,127.1288855,서울 강동구 성안로 7 (성내동),강동구
천호로데오점,37.5443765,127.1276202,서울 강동구 천호대로 1027 (천호동),강동구
천호역점,37.5379796,127.1237397,서울 강동구 천호대로 1006 (성내동),강동구
천호중앙점,37.54016837687974,127.12456936024019,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합)",강동구
천호초교사거리점,37.5467270340876,127.134809493652,"서울 강동구 구천면로 304 (천호동, 일주빌딩)",강동구
천호현대점,37.5394574,127.1259003,서울 강동구 올림픽로 665 (천호동),강동구
개봉역점,37.49425567906598,126.85837744421302,서울 구로구 남부순환로97길 11 (개봉동),구로구
개봉중앙점,37.48641,126.8548809,서울 구로구 개봉로3길 26 (개봉동),구로구
개봉현대점,37.4918637,126.8555982,서울 구로구 개봉로 69 (개봉동),구로구
고대구로병원점,37.492567,126.8833201,서울 구로구 구로동로 157 (구로동),구로구
고척사거리점,37.50590782693333,126.8582904039366,"서울 구로구 고척로 228-6 (고척동, 종만빌딩)",구로구
고척스카이돔점,37.49757339497824,126.86392369544527,"서울 구로구 경인로 397 (고척동, 골든타워빌딩)",구로구
구로NC점,37.4944134,126.8563336,서울 구로구 구로동로 240 (구로동),구로구
구로거리공원점,37.5007711,126.8893535,서울 구로구 구로중앙로28길 73 (구로동),구로구
구로고척점,37.5031210514888,126.850139541298,"서울 구로구 고척로 149 (고척동, 상암빌딩)",구로구
구로구청점,37.4966251468796,126.890315032666,"서울 구로구 가마산로25길 9 (구로동, 네오팰리스)",구로구
구로궁동점,37.497825883946476,126.82937821925746,서울 구로구 오리로 1304 (궁동) 1층,구로구
구로미성점,37.50618302845446,126.87671651690317,"서울 구로구 구로중앙로 228 (신도림동, 기임빌딩)",구로구
구로에이스점,37.51466569999999,126.8984728,서울 구로구 디지털로33길 11 (구로동),구로구
구로역광장점,37.50330519053889,126.88108330547095,"서울 구로구 경인로 572 (구로동, 스타팰리스)",구로구
구로이마트점,37.53095649999999,126.7365231,서울 구로구 디지털로32길 43 (구로동),구로구
구로중앙점,37.49006780787233,126.89208440149883,서울 구로구 도림로 79 (구로동),구로구
구로코레일점,37.50246213304171,126.88136511388151,"서울 구로구 구로중앙로 174 (구로동, 구로역)",구로구
구일역점,37.49494013521619,126.87192053744891,"서울 구로구 구일로 110 (구로동, 해원리버파크)",구로구
동양미래대학점,37.500272,126.8670405,서울 구로구 경인로47길 14 (고척동),구로구
메르디앙고척점,37.50272122020154,126.862695769372,"서울 구로구 중앙로8길 11 (고척동, 고척 월드메르디앙)",구로구
성공회대점,37.4872294,126.8242853,서울 구로구 연동로 312 (항동),구로구
신도림메르디앙점,37.509516,126.8820471,"서울 구로구 신도림로 65 (신도림동, 신도림월드메르디앙오피스텔)",구로구
신도림테크노마트점,37.5069735,126.8903193,서울 구로구 새말로 97 (구로동),구로구
오류남부점,37.4926091,126.8437777,서울 구로구 오류로8길 65 (오류동),구로구
오류북부역점,37.4953872,126.8435279,서울 구로구 경인로20길 6 (오류동),구로구
천왕이펜하우스점,37.486686,126.838681,서울 구로구 천왕로 36 (천왕동),구로구
경희대점,37.59203327648363,127.05250416385545,서울 동대문구 경희대로 4 (회기동),동대문구
경희대캠퍼스점,37.595279710668244,127.05111084006764,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)",동대문구
답십리사거리점,37.573052190180896,127.05611323484102,서울 동대문구 답십리로 145 (답십리동),동대문구
답십리파크자이점,37.5669101962131,127.061880899304,"서울 동대문구 한천로 55 (답십리동, 영진빌딩)",동대문구
동대문구청점,37.5736135434364,127.040640800113,서울 동대문구 천호대로 153-1 (용두동),동대문구
동부병원사거리점,37.5735046,127.0309651,서울 동대문구 무학로 104 (용두동),동대문구
배봉초교사거리점,37.5784698,127.069321,서울 동대문구 답십리로63길 131 (장안동),동대문구
서울시립대점,37.58327457593998,127.0548189288785,"서울 동대문구 서울시립대로 164 (전농동, 도석프라자)",동대문구
신설동역점,37.57504733413244,127.02493296369806,서울 동대문구 천호대로 11-3 (신설동),동대문구
외대점,37.59584025153598,127.06125986481157,서울 동대문구 휘경로 12 (이문동),동대문구
용두동사거리점,37.577701,127.0304641,서울 동대문구 왕산로 68 (용두동),동대문구
용두동점,37.5757257,127.034286,서울 동대문구 고산자로 413-1 (용두동),동대문구
이문점 ,37.6031275,127.0642249,서울 동대문구 신이문로 19 (이문동),동대문구
장안동사거리점,37.572295,127.0748317,서울 동대문구 답십리로 309 (장안동),동대문구
장안동점,37.5650632,127.0666931,서울 동대문구 장한로 43 (장안동),동대문구
장안중랑천점,37.56754823943685,127.07077591338621,서울 동대문구 장한로18길 32 (장안동),동대문구
장안중앙점,37.5806984,127.0709597,서울 동대문구 사가정로25길 42 (장안동),동대문구
장한평군자초교점,37.562872788703984,127.06144791110913,서울 동대문구 한천로2길 53 (장안동),동대문구
전농뉴타운점,37.5750329,127.0496055,서울 동대문구 답십리로 77 (전농동),동대문구
전농사거리점,37.5776021,127.0595087,서울 동대문구 사가정로 132 (전농동),동대문구
청량리점,37.581381,127.048958,서울 동대문구 왕산로 225 (청량리동),동대문구
촬영소사거리점,37.5722268,127.0694723,서울 동대문구 답십리로 264 (장안동),동대문구
회기역점,37.58989405306092,127.06058696054686,"서울 동대문구 망우로 67 (휘경동, 효자 워너빌)",동대문구
회기역중앙점,37.58980550001833,127.05749583678211,서울 동대문구 회기로 194-1 (휘경동),동대문구
논골사거리점,37.5556203,127.0247986,서울 성동구 난계로 35 (금호동1가),성동구
답십리로데오점,37.5637655,127.0525842,서울 성동구 용답19길 17-1 (용답동),성동구
뚝섬역점,37.5473256,127.048794,서울 성동구 상원길 38-1 (성수동1가),성동구
마장동점,37.5699814,127.0373421,서울 성동구 고산자로 339-2 (마장동),성동구
마장역점,37.5659109,127.0421543,서울 성동구 마장로 293-1 (마장동),성동구
상왕십리역점,37.5657152,127.0303134,서울 성동구 무학봉15길 27 (하왕십리동),성동구
성동구청점,37.5636603,127.0357573,서울 성동구 고산자로 269 (도선동),성동구
성수아카데미점,37.5451437,127.0578284,서울 성동구 성수이로 118 (성수동2가),성동구
성수우리W타워점,37.5447256,127.0621362,서울 성동구 아차산로15길 19 (성수동2가),성동구
성수중앙점,37.5442438,127.0552721,"서울 성동구 성수일로6길 47 (성수동2가, 현성빌딩)",성동구
신금호역점,37.553945,127.0196382,서울 성동구 금호산길 64 (금호동2가),성동구
옥수동점,37.5452467,127.0156749,서울 성동구 매봉길 12 (옥수동),성동구
옥수역점,37.5419889,127.0167737,서울 성동구 한림말5길 9 (옥수동),성동구
왕십리비트플렉스점,37.56192679999999,127.0384157,서울 성동구 왕십리광장로 17 (행당동),성동구
왕십리센트라스점,37.5663196,127.0236616,서울 성동구 무학로 22 (홍익동),성동구
왕십리역점,37.5613546,127.0347728,서울 성동구 왕십리로 309 (행당동),성동구
응봉동점,37.5515276,127.0330901,"서울 성동구 독서당로 381 (응봉동, 현대종합상가)",성동구
장한평역점,37.5609511,127.0662748,서울 성동구 천호대로 426 (용답동),성동구
