,주유소명,주소,브랜드,휘발유 가격,경유 가격,셀프 여부,세차장 여부,충전소 여부,경정비 여부,편의점 여부,24시간 운영 여부,구,위도,경도
249,지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),GS칼텍스,1563,1454,Y,Y,N,N,N,N,송파구,37.4754161,127.1321545
250,남성대주유소,서울 송파구 송파대로 52 (장지동),SK에너지,1563,1454,Y,Y,N,Y,N,Y,송파구,37.4753841,127.1275855
251,위례제일주유소,서울 송파구 위례서로 260,S-OIL,1563,1454,Y,Y,N,N,N,N,송파구,37.4878153,127.1426953
252,(주)삼표에너지 아시아주유소,서울 송파구 도곡로 438 (잠실동),GS칼텍스,1567,1457,Y,Y,N,N,N,N,송파구,37.5045958,127.0773693
253,HD현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397 (석촌동),HD현대오일뱅크,1567,1467,Y,N,N,N,N,Y,송파구,37.5027277,127.108967
254,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),SK에너지,1567,1435,Y,Y,N,Y,N,N,송파구,37.4993144,127.0970662
255,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),S-OIL,1567,1457,Y,Y,N,Y,N,Y,송파구,37.5051072,127.1135469
256,삼화주유소,서울 송파구 백제고분로 125,GS칼텍스,1567,1457,Y,N,N,N,N,Y,송파구,37.5065882,127.0810065
257,(주)삼표에너지 우리주유소,서울 송파구 동남로 153,GS칼텍스,1573,1464,Y,Y,N,N,N,N,송파구,37.49238570000001,127.1273583
258,상아주유소,서울 송파구 거마로 82,S-OIL,1573,1464,Y,Y,N,N,N,N,송파구,37.500202,127.1478703
259,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),HD현대오일뱅크,1575,1455,Y,Y,N,Y,N,Y,송파구,37.5016713,127.0973336
260,(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),GS칼텍스,1579,1475,N,Y,N,N,N,N,송파구,37.4912353,127.1153533
261,대성주유소,서울 송파구 마천로 230 (마천동),SK에너지,1588,1458,N,Y,N,N,N,N,송파구,37.500054,127.1431473
262,(주)신화에너지 서울지점,서울 송파구 가락로 47 (석촌동),SK에너지,1596,1479,Y,Y,N,Y,N,Y,송파구,37.4994902,127.1017419
263,(주)유진주유소,서울 송파구 동남로 325 (오금동),SK에너지,1596,1464,N,Y,N,N,N,N,송파구,37.5045778,127.1384385
264,(주)정직한주유소,서울 송파구 오금로 455 (거여동),HD현대오일뱅크,1597,1487,Y,Y,N,N,N,N,송파구,37.4897279,127.1449912
265,대성석유(주)석촌주유소,서울 송파구 백제고분로 289,GS칼텍스,1597,1497,N,N,N,Y,N,N,송파구,37.5028242,127.0985725
266,제트라인DM주유소,서울 송파구 중대로 183 (가락동),HD현대오일뱅크,1599,1478,N,N,N,Y,N,N,송파구,37.4985047,127.125431
267,완불주유소,서울 송파구 송파대로 3 (장지동),SK에너지,1609,1483,Y,Y,N,N,N,Y,송파구,37.4711097,127.1261708
268,방이주유소,서울 송파구 위례성대로12길 38 (방이동),SK에너지,1624,1489,N,Y,N,Y,N,N,송파구,37.5106744,127.1208223
269,백제고분로주유소,서울 송파구 오금로 143 (방이동),SK에너지,1624,1489,Y,Y,N,Y,Y,Y,송파구,37.5122326,127.1168766
270,송파주유소,서울 송파구 송이로 28 (송파동),GS칼텍스,1625,1495,Y,N,N,Y,N,N,송파구,37.5088494,127.1064009
271,HD현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),HD현대오일뱅크,1646,1557,Y,Y,N,Y,Y,Y,송파구,37.509825,127.131607
272,(주)뉴명성산업 남성주유소,서울 송파구 백제고분로 474 (방이동),HD현대오일뱅크,1697,1597,N,Y,N,N,N,N,송파구,37.5125917,127.1139709
273,대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),SK에너지,1858,1758,N,Y,N,N,N,N,송파구,37.5336683,127.1206178
274,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),GS칼텍스,1559,1407,Y,Y,N,N,N,N,양천구,37.5453243,126.8821112
275,현대주유소,서울 양천구 남부순환로 372 (신월동),S-OIL,1569,1379,Y,Y,N,N,N,N,양천구,37.5338727,126.8292625
276,플라트(주)서호주유소,서울 양천구 남부순환로 317,GS칼텍스,1569,1379,Y,Y,N,Y,N,N,양천구,37.5386609,126.8268367
